§º·´ÅÍ§ÃÒÂà¢µ	¢éÍÁÙÅ»Ñ¨¨ØºÑ¹(04.08.201717:50:19)
¼Ñ§ºÑ­ªÕ	¼Ñ§ºÑ­ªÕ ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
ÃËÑÊºÃÔÉÑ·	9000 ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
àÅ¢·ÕèºÑ­ªÕ	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	ÂÍ´ÃÇÁ ¡¿À.
	§Ç´   1-   1;&N1	§Ç´   1-   1;&N2	§Ç´   1-   1;&N3	§Ç´   1-   1;&E1	§Ç´   1-   1;&E2	§Ç´   1-   1;&E3	§Ç´   1-   1;&C1	§Ç´   1-   1;&C2	§Ç´   1-   1;&C3	§Ç´   1-   1;&S1	§Ç´   1-   1;&S2	§Ç´   1-   1;&S3	§Ç´   1-   1;&Y000	§Ç´   1-   1;&Z000	§Ç´   1-   1;&BLANK	
áÊ´§ã¹	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB
11021771   C/A BBL 00594-7 ºÁ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11021780   C/A BBL 01257-3 ÅÁÊ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11021781   C/A BBL 01257-3 ÅÁÊ.	               0.00	               0.00	           98406.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           98406.00
11021800   C/A BBL 01893-7 µ¤.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11021801   C/A BBL 01893-7 µ¤.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11021820   C/A BBL 00865-3 È·.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11021821   C/A BBL 00865-3 È·.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11021831   C/A BBL 00029-9 ¾ª.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022340   C/A BBL 03145-7 ¢¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022341   C/A BBL 03145-7 ¢¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022490   C/A BBL 01262-5 ¾Å	               0.00	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11022500   C/A BBL 00106-2 Á¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022501   C/A BBL 00106-2 Á¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022580   C/A BBL 00304-4 ¾¤¹.	               0.00	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11022581   C/A BBL 00304-4 ¾¤¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022590   C/A BBL 00265-1 ÊÇ.	               0.00	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11022610   C/A BBL 00067-5 ¹Ë.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022611   C/A BBL 00067-5 ¹Ë.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022630   C/A BBL 00019-6 ¡ÀÇ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11022631   C/A BBL 00019-6 ¡ÀÇ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023040   C/A BBL 00123-7 µ¼.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023041   C/A BBL 00123-7 µ¼.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023050   C/A BBL 01533-1 È¡.	               0.00	               0.00	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11023051   C/A BBL 01533-1 È¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023060   C/A BBL 00192-1 ¡Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023061   C/A BBL 00192-1 ¡Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023080   C/A BBL 00483-8 ¢¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023081   C/A BBL 00483-8 ¢¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023091   C/A BBL 00168-9 ÃÈ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023100   C/A BBL 00777-7 ÂÊ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023101   C/A BBL 00777-7 ÂÊ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023180   C/A BBL 00237-2 ªÂ¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023181   C/A BBL 00237-2 ªÂ¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023230   C/A BBL 00293-8 ¡É.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023231   C/A BBL 00293-8 ¡É.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023290   C/A BBL 00074-6 ¢Ã.	               0.00	               0.00	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11023291   C/A BBL 00074-6 ¢Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023320   C/A BBL 00353-1 Ê´¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023321   C/A BBL 00353-1 Ê´¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023360   C/A BBL 00605-8 ´Í.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023361   C/A BBL 00605-8 ´Í.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023370   C/A BBL 00228-4 ¹Â.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023371   C/A BBL 00228-4 ¹Â.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023380   C/A BBL 02314-6 ÇÃª	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023381   C/A BBL 02314-6 ÇÃª	               0.00	               0.00	               0.00	               0.00	           73300.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           73300.00
11023390   C/A BBL 02712-5 Á¤.	               0.00	               0.00	               0.00	               0.00	           20000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           20000.00
11023391   C/A BBL 02712-5 Á¤.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11023400   C/A BBL 50003-0 ¡Ê.	               0.00	               0.00	               0.00	               0.00	           10000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10000.00
