§º·´ÅÍ§ÃÒÂà¢µ	¢éÍÁÙÅ»Ñ¨¨ØºÑ¹(04.08.201717:50:19)
¼Ñ§ºÑ­ªÕ	¼Ñ§ºÑ­ªÕ ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
ÃËÑÊºÃÔÉÑ·	9000 ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
àÅ¢·ÕèºÑ­ªÕ	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	ÂÍ´ÃÇÁ ¡¿À.
	§Ç´   1-   1;&N1	§Ç´   1-   1;&N2	§Ç´   1-   1;&N3	§Ç´   1-   1;&E1	§Ç´   1-   1;&E2	§Ç´   1-   1;&E3	§Ç´   1-   1;&C1	§Ç´   1-   1;&C2	§Ç´   1-   1;&C3	§Ç´   1-   1;&S1	§Ç´   1-   1;&S2	§Ç´   1-   1;&S3	§Ç´   1-   1;&Y000	§Ç´   1-   1;&Z000	§Ç´   1-   1;&BLANK	
áÊ´§ã¹	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB
11364861   S/A SCB 14526-3 º»Í.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11364910   S/A SCB 39256-2 º¡´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          280927.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          280927.25
11364911   S/A SCB 39256-2 º¡´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          711169.35	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          711169.35
11364930   S/A SCB 11563-3 Å¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2151805.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2151805.51
11364931   S/A SCB 11563-3 Å¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2505827.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2505827.42
11364940   S/A SCB 43500-6 ¤Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          427851.55	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          427851.55
11364941   S/A SCB 43500-6 ¤Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          243555.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          243555.73
11365420   S/A SCB 02677-7 µÃÒ´	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             574.64	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             574.64
11365421   S/A SCB 02677-7 µÃÒ´	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11365571   S/A SCB 05453-9 º¹º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11366130   S/A SCB 18234-7 µÅ¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           22263.18	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           22263.18
11366131   S/A SCB 18234-7 µÅ¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11366180   S/A SCB 08219-4 ´Á¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             381.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             381.25
11366181   S/A SCB 08219-4 ´Á¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11366280   S/A SCB 01386-2 Ê¾¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              61.83	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              61.83
11366281   S/A SCB 01386-2 Ê¾¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11366390   S/A SCB 13697-4 ¡·º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           30112.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           30112.04
11366391   S/A SCB 13697-4 ¡·º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -2000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -2000.00
11367720   S/A SCB 08464-9 ¡º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -795431.09	               0.00	               0.00	               0.00	               0.00	         -795431.09
11367721   S/A SCB 08464-9 ¡º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          862659.50	               0.00	               0.00	               0.00	               0.00	          862659.50
11367770   S/A SCB 15237-9 µÂÂ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           43476.75	               0.00	               0.00	               0.00	               0.00	           43476.75
11367771   S/A SCB 15237-9 µÂÂ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11367900   S/A SCB 03264-9 »¾¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             801.68	               0.00	               0.00	               0.00	               0.00	             801.68
11367901   S/A SCB 03264-9 »¾¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11369010   S/A SCB 47010-1 Å¾59	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1552089072.25	               0.00	      1552089072.25
11369011   S/A SCB 47010-1 Å¾59	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          -97311.77	               0.00	          -97311.77
11372380   S/A TBANK 04441-7 ¹¾	               0.00	               0.00	               0.00	           14532.18	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           14532.18
11372381   S/A TBANK 04441-7 ¹¾	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11373760   S/A TBANK 03210-4 ªÂ	               0.00	               0.00	               0.00	               0.00	               0.00	          647454.58	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          647454.58
11373761   S/A TBANK 03210-4 ªÂ	               0.00	               0.00	               0.00	               0.00	               0.00	            9840.81	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            9840.81
11374520   S/A TBANK 02755-0 ÍÂ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           43691.77	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           43691.77
11374521   S/A TBANK 02755-0 ÍÂ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11374601   S/A SCIB 10702-9 Êº.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11374900   S/A TBANK 06241-4Ç¹Â	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          147418.43	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          147418.43
11374901   S/A TBANK 06241-4Ç¹Â	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          667111.20	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          667111.20
11374910   S/A TBANK 04489-8 Êº	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2643266.43	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2643266.43
11374911   S/A TBANK 04489-8 Êº	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            8322.49	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            8322.49
11374920   S/A TBANK 04043-7 Ê¡	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12452.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12452.93
11374921   S/A TBANK 04043-7 Ê¡	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           65437.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           65437.51
11377050   S/A TBANK 08095-7 ÍÇ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1055.87	               0.00	               0.00	               0.00	               0.00	               0.00	            1055.87
11377051   S/A TBANK 08095-7 ÍÇ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           14764.43	               0.00	               0.00	               0.00	               0.00	               0.00	           14764.43
11377690   S/A TBANK 20219-3 Â¢	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             676.27	               0.00	               0.00	               0.00	               0.00	             676.27
11377691   S/A TBANK 20219-3 Â¢	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11377780   S/A TBANK 16180-5·ËÁ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           37417.82	               0.00	               0.00	               0.00	               0.00	           37417.82
11377781   S/A TBANK 16180-5·ËÁ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          -18579.37	               0.00	               0.00	               0.00	               0.00	          -18579.37
11377840   S/A TBANK 20656-2 ¡Á	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            5823.97	               0.00	               0.00	               0.00	               0.00	            5823.97
11377841   S/A TBANK 20656-2 ¡Á	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12973.40	               0.00	               0.00	               0.00	               0.00	           12973.40
11377900   S/A TBANK 17023-9»¾¹	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             654.01	               0.00	               0.00	               0.00	               0.00	             654.01
11377930   S/A TBANK 21846-1¡Åµ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              40.92	               0.00	               0.00	               0.00	               0.00	              40.92
11377931   S/A TBANK 21846-1¡Åµ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11377940   S/A TBANK 02536-7 ¶Å	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          908069.77	               0.00	               0.00	               0.00	               0.00	          908069.77
11377941   S/A TBANK 02536-7 ¶Å	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          302081.07	               0.00	               0.00	               0.00	               0.00	          302081.07
11378380   S/A TBANK 07865-3ÊºÃ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            4529.57	               0.00	               0.00	               0.00	            4529.57
11378381   S/A TBANK 07865-3ÊºÃ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11378550   S/A TBANK 20469-1 ¾·	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            7264.81	               0.00	               0.00	               0.00	            7264.81
11378551   S/A TBANK 20469-1 ¾·	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11379010   S/A TBANK06844-0 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        29426387.29	               0.00	        29426387.29
11379011   S/A TBANK06844-0 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             141.78	               0.00	             141.78
11399010   S/A CIMB 0058707 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            4838.87	               0.00	            4838.87
11399011   S/A CIMB 0058707 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             100.00	               0.00	             100.00
11409010   S/A UOB 02072-0 Ê¹­.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            4184.52	               0.00	            4184.52
11409011   S/A UOB 02072-0 Ê¹­.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        98921000.00	               0.00	        98921000.00
11411700   S/A BAY 02724-3 ¤º¨.	               0.00	               0.00	           93791.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           93791.91
11411701   S/A BAY 02724-3 ¤º¨.	               0.00	               0.00	           79545.72	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           79545.72
11411710   S/A BAY 10777-8 ¾ª.	               0.00	               0.00	           10069.39	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10069.39
11411711   S/A BAY 10777-8 ¾ª.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11411720   S/A BAY 36169-0 ¹¼.	               0.00	               0.00	          106700.66	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          106700.66
11411721   S/A BAY 36169-0 ¹¼.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11411781   S/A BAY 16271-3 ÅÁÊ.	               0.00	               0.00	           26761.38	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           26761.38
11411810   S/A BAY 02274-8 ¾².	               0.00	               0.00	           14496.31	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           14496.31
11411811   S/A BAY 02274-8 ¾².	               0.00	               0.00	            3000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            3000.00
11412340   S/A BAY 48888-0 ¢¡.	               0.00	               0.00	               0.00	           11667.74	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           11667.74
11412341   S/A BAY 48888-0 ¢¡.	               0.00	               0.00	               0.00	           28441.67	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           28441.67
11412350   S/A BAY 17331-5 ¹¾§.	               0.00	               0.00	               0.00	           12887.35	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12887.35
11412351   S/A BAY 17331-5 ¹¾§.	               0.00	               0.00	               0.00	           -9783.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -9783.03
11412570   S/A BAY 39390-6 ÀÇ.	               0.00	               0.00	               0.00	          371988.39	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          371988.39
11412571   S/A BAY 39390-6 ÀÇ.	               0.00	               0.00	               0.00	          306843.67	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          306843.67
11412600   S/A BAY 11762-6 ¹À.	               0.00	               0.00	               0.00	            7400.18	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            7400.18
11412601   S/A BAY 11762-6 ¹À.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11413030   S/A BAY 50344-8 ¾ºË.	               0.00	               0.00	               0.00	               0.00	           44182.68	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           44182.68
11413031   S/A BAY 50344-8 ¾ºË.	               0.00	               0.00	               0.00	               0.00	           -5829.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -5829.76
11413050   S/A BAY 11208-4 È¡.	               0.00	               0.00	               0.00	               0.00	            2106.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            2106.09
11413051   S/A BAY 11208-4 È¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11413110   S/A BAY 10558-0 ¾¾.	               0.00	               0.00	               0.00	               0.00	          142412.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          142412.16
11413111   S/A BAY 10558-0 ¾¾.	               0.00	               0.00	               0.00	               0.00	          225392.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          225392.99
11413270   S/A BAY 13223-1 Í¨.	               0.00	               0.00	               0.00	               0.00	           12798.71	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12798.71
11413310   S/A BAY 23684-2 ¾·§.	               0.00	               0.00	               0.00	               0.00	            1162.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1162.85
11413311   S/A BAY 23684-2 ¾·§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11413360   S/A BAY 39042-6 ´Í.	               0.00	               0.00	               0.00	               0.00	          103108.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          103108.84
11413361   S/A BAY 39042-6 ´Í.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11413790   S/A BAY 20436-2 ¹Ê.	               0.00	               0.00	               0.00	               0.00	               0.00	             784.43	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             784.43
11413791   S/A BAY 20436-2 ¹Ê.	               0.00	               0.00	               0.00	               0.00	               0.00	             160.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             160.00
11414680   S/A BAY 10720-3 ÍÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           43636.72	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           43636.72
11414681   S/A BAY 10720-3 ÍÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10918.86	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10918.86
11414880   S/A BAY 18956-0 ¡¤Â.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1457936.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1457936.40
11414881   S/A BAY 18956-0 ¡¤Â.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -774220.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -774220.91
11414890   S/A BAY 64713-6 ÁÅ¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          332748.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          332748.29
11414891   S/A BAY 64713-6 ÁÅ¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           88539.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           88539.14
11416070   S/A BAY 05359-5 º»Á.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          206048.30	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          206048.30
11416071   S/A BAY 05359-5 º»Á.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           17940.68	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           17940.68
11416120   S/A BAY 21516-1 ·Á§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             727.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             727.04
11416121   S/A BAY 21516-1 ·Á§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11416360   S/A BAY 91746-7 º»§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            2365.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            2365.69
11416361   S/A BAY 91746-7 º»§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11416810   S/A BAY 16800-6 ¢ÂÂ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          411001.60	               0.00	               0.00	               0.00	               0.00	               0.00	          411001.60
11416811   S/A BAY 16800-6 ¢ÂÂ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1398437.17	               0.00	               0.00	               0.00	               0.00	               0.00	         1398437.17
11416980   S/A BAY 23610-4 ËË.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1213043.20	               0.00	               0.00	               0.00	               0.00	               0.00	         1213043.20
11416981   S/A BAY 23610-4 ËË.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          377959.28	               0.00	               0.00	               0.00	               0.00	               0.00	          377959.28
11417600   S/A BAY 18949-7 ¡­.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           34103.36	               0.00	               0.00	               0.00	               0.00	           34103.36
11417601   S/A BAY 18949-7 ¡­.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           20937.40	               0.00	               0.00	               0.00	               0.00	           20937.40
11417750   S/A BAY 10610-2 ¾§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          154214.35	               0.00	               0.00	               0.00	               0.00	          154214.35
11417751   S/A BAY 10610-2 ¾§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              30.00	               0.00	               0.00	               0.00	               0.00	              30.00
11417860   S/A BAY 07900-2 ·Ê.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             355.63	               0.00	               0.00	               0.00	               0.00	             355.63
11417861   S/A BAY 07900-2 ·Ê.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           14914.76	               0.00	               0.00	               0.00	               0.00	           14914.76
11418310   S/A BAY 06622-6 àºµ§	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              17.01	               0.00	               0.00	               0.00	              17.01
11418311   S/A BAY 06622-6 àºµ§	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11418640   S/A BAY 11568-8 ÊµÙÅ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            7106.99	               0.00	               0.00	               0.00	            7106.99
11418641   S/A BAY 11568-8 ÊµÙÅ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11419010   S/A BAY 45664-9 º¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        88928288.74	               0.00	        88928288.74
11419011   S/A BAY 45664-9 º¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2071232.46	               0.00	         2071232.46
11420390   S/A GSB 03876-6¾ÃéÒÇ	            7201.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            7201.69
11420391   S/A GSB 03876-6¾ÃéÒÇ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11421030   S/A GSB 028593-7 ÊÍ§	               0.00	         1459781.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1459781.42
11421031   S/A GSB 028593-7 ÊÍ§	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11421040   S/A GSB 030627-7 Ã¡.	               0.00	          330436.88	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          330436.88
11421041   S/A GSB 030627-7 Ã¡.	               0.00	          -11759.92	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          -11759.92
11421060   S/A GSB 023996-3 ÇÊ.	               0.00	           27777.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           27777.27
